sample,BranchLength,BranchVolume,DBHcyl,DBHqsm,LengthBranchOrder,LengthCylDiam,MaxBranchOrder,NumberBranchOrder,NumberBranches,TotalArea,TotalVolume,TreeHeight,TrunkLength,TrunkVolume,VolumeBranchOrder,VolumeCylDiam,PA,IoU,DSC,MSE,NHD
T1,546.2254639,3587.162842,1.539574027,1.539574027,2.02524066,44.48899841,5,45,297,263.8605347,36516.50781,64.08739471,71.59991455,32929.35156,2573.935059,0.863269448,0.944356149,0.833276292,0.905438779,0.055643851,0.016849721
T2,13.05033398,10.47434902,0.17290625,0.163566664,0.127753034,2.950161457,2,5,6,6.725804329,179.4947205,14.81779671,17.98008347,169.0203705,10.43626213,0.057926282,0.765289256,0.559272472,0.716925272,0.234710744,0.110591069
T3,28.18949509,55.93358612,0.152338877,0.142810628,0.170772329,6.305523396,3,8,16,6.632926464,122.5438461,13.66921425,14.06170654,66.61025238,44.00122452,0.161960751,0.691666667,0.458865095,0.627564725,0.308333333,0.183517345
T4,153.4837341,1422.731934,0.766646504,0.766646504,0.478016496,57.67424774,6,19,92,44.88822556,3469.363525,25.00662613,24.46812439,2046.631592,757.5197144,0.945915341,0.789927494,0.613015061,0.758537207,0.210072506,0.121436952
T5,390.8973999,1449.855225,0.691430032,0.712546229,1.299964547,24.92169189,8,33,245,121.864769,8682.929688,44.80761719,45.10997009,7233.07373,1072.615479,0.660104036,0.803284461,0.552688303,0.710519785,0.196715539,0.016974928
T6,97.84929657,358.256012,0.76970911,0.76970911,0.521234453,9.660906792,4,23,71,57.55070496,5104.561035,36.10842514,34.71642685,4746.305176,277.4747314,0.217719644,0.904291593,0.81023439,0.895001357,0.095708407,0.114744755
T7,767.4428711,4545.458984,1.327962756,1.327962756,2.477798223,35.33947754,7,50,352,254.5178833,25888.24609,55.52439117,53.3717041,21342.78711,3428.351563,0.821452916,0.88859127,0.718049551,0.82880696,0.11140873,0.04185595
T8,10.05402279,40.73313141,0.145919055,0.135123163,0.092540629,2.498933077,2,6,7,6.243277073,164.789978,13.76639271,14.56653404,124.0568542,39.53125763,0.052366618,0.842577031,0.722903824,0.8383234,0.157422969,0.031275455
T9,8.661581039,5.041138649,0.129707307,0.115892038,0.031934291,1.365774393,4,3,11,5.118198395,111.910965,16.04157448,16.8592453,106.8698273,3.123324871,0.043428686,0.853703704,0.732543554,0.83924599,0.146296296,0.097484493
T10,218.3316803,607.5906982,0.575896919,0.626611412,0.600618482,16.27254105,5,17,116,69.54930878,5034.53418,43.82965088,43.11679459,4426.943359,475.0715027,0.567615688,0.777486991,0.566479027,0.722108904,0.222513009,0.096737651
